Date,Open,High,Low,Close,Adj Close,Volume,
1/01/1962,7.713333,7.713333,7.003334,7.226666,0.613092,8760000,
1/02/1962,7.3,7.48,7.093333,7.16,0.607436,5737600,
1/03/1962,7.186666,7.413333,7.07,7.103333,0.602711,5344000,
1/04/1962,7.1,7.1,6,6.053333,0.513619,12851200,
1/05/1962,6.053333,6.53,4.733333,5.233333,0.444043,49307200,
1/06/1962,5.213333,5.213333,4,4.523334,0.383861,68451200,
1/07/1962,4.523334,5.246666,4.513333,5.16,0.43789,41052800,
1/08/1962,5.146667,5.53,4.94,5.283333,0.448356,41353600,
1/09/1962,5.283333,5.353333,4.646667,4.713333,0.400064,33204800,
1/10/1962,4.713333,4.956666,4.293334,4.613333,0.391576,42958400,
1/11/1962,4.613333,5.356667,4.56,5.313334,0.450991,36654400,
1/12/1962,5.26,5.413333,5.086667,5.2,0.441464,21891200,
1/01/1963,5.2,5.66,5.123333,5.65,0.479668,28531200,
1/02/1963,5.65,5.665,5.32,5.33,0.452501,13190400,
1/03/1963,5.33,5.643333,5.296667,5.613333,0.476668,12147200,
1/04/1963,5.613333,6.326667,5.566667,6.183333,0.525071,18203200,
1/05/1963,6.183333,6.38,6.1,6.363333,0.540355,11387200,
1/06/1963,6.363333,6.383333,5.76,5.816667,0.494042,12854400,
1/07/1963,5.816667,5.973333,5.67,5.793334,0.49206,16763200,
1/08/1963,5.793334,6.126667,5.733333,5.93,0.503668,13878400,
1/09/1963,5.938334,6.253334,5.938334,6.026667,0.511995,18100800,
1/10/1963,6.026667,6.69,5.98,6.586667,0.55957,24403200,
1/11/1963,6.586667,6.61,6.146667,6.47,0.549658,12488000,
1/12/1963,6.506667,6.793334,6.313334,6.76,0.574443,13035200,
1/01/1964,6.8,7.56,6.766667,7.226666,0.614099,22300800,
1/02/1964,7.226666,7.686666,7.12,7.586667,0.64469,11291200,
1/03/1964,7.586667,7.926667,7.413333,7.923333,0.673455,11723200,
1/04/1964,7.933333,8.02,7.603333,7.603333,0.646256,12776000,
1/05/1964,7.613333,8.233334,7.613333,8,0.679971,10512000,
1/06/1964,8,8.058333,7.683333,7.95,0.675894,8619200,
1/07/1964,7.979167,8.2,7.666667,7.7,0.654639,9276800,
1/08/1964,7.7,7.7,7.091667,7.341667,0.624174,11555200,
1/09/1964,7.341667,7.433333,6.866667,7.275,0.618674,11804800,
1/10/1964,7.275,7.275,6.916667,7,0.595288,7595200,
1/11/1964,6.995833,7.241667,6.875,6.875,0.584658,8470400,
1/12/1964,6.858333,6.966667,6.783333,6.825,0.580578,8364800,
1/01/1965,6.825,7.5,6.733333,7.475,0.635871,11296000,
1/02/1965,7.458333,7.61875,7.083333,7.595833,0.64615,7942400,
1/03/1965,7.595833,7.825,7.466667,7.570833,0.64424,7204800,
1/04/1965,7.583333,8.083333,7.583333,8.083333,0.687852,6395200,
1/05/1965,8.066667,8.191667,7.666667,7.966667,0.677924,5681600,
1/06/1965,7.933333,7.958333,7.291667,7.633333,0.64976,14480000,
1/07/1965,7.633333,7.983333,7.583333,7.983333,0.679553,7908800,
1/08/1965,7.983333,8.397917,7.904167,8.316667,0.707927,9350400,
1/09/1965,8.316667,8.620833,8.3,8.541667,0.727308,7246400,
1/10/1965,8.5125,8.883333,8.3875,8.883333,0.756401,7057600,
1/11/1965,8.883333,9.233334,8.7,8.75,0.745047,4550400,
1/12/1965,8.75,8.795834,8.2375,8.316667,0.708349,12908800,
1/01/1966,8.291667,8.558333,7.866667,8.266666,0.70409,12648000,
1/02/1966,8.266666,8.745833,8.133333,8.583333,0.731062,8011200,
1/03/1966,8.583333,8.75,8.241667,8.6,0.7327,9123200,
1/04/1966,8.6,9.366667,8.566667,9.291667,0.791629,7316800,
1/05/1966,9.291667,9.35,8.6,9.06875,0.772637,10494400,
1/06/1966,8.9125,9.1625,8.3125,8.7625,0.746768,13753600,
1/07/1966,8.80625,9.0375,8.51875,8.51875,0.725995,6025600,
1/08/1966,8.51875,8.76875,7.65625,8.0125,0.682851,10428800,
1/09/1966,8.0125,8.4625,7.6625,7.9375,0.676676,10038400,
1/10/1966,7.9375,8.371875,7.2375,8.3,0.707579,11531200,
1/11/1966,8.359375,9.425,8.359375,9.4,0.801354,10068800,
1/12/1966,9.4,9.65,9.075,9.2875,0.792017,6968000,
1/01/1967,9.2875,10.15,9.0625,9.9875,0.851711,10628800,
1/02/1967,9.85,10.88125,9.7625,10.75,0.916736,6753600,
1/03/1967,10.8125,11.525,10.8,11.275,0.961771,7043200,
1/04/1967,11.1875,12.475,10.925,12.4125,1.058802,8220800,
1/05/1967,12.125,12.125,11.45,11.65625,0.994293,8121600,
1/06/1967,11.65625,12.775,11.5875,12.4375,1.061169,9611200,
1/07/1967,12.4375,12.7375,12.2,12.69375,1.083033,6238400,
1/08/1967,12.69375,12.8625,12.13125,12.49375,1.065968,5624000,
1/09/1967,12.49375,13.9375,12.4625,13.70625,1.169672,7054400,
1/10/1967,13.7,15.0125,13.525,14.8375,1.266211,6659200,
1/11/1967,14.725,15.5125,14.1875,15.3,1.305681,9472000,
1/12/1967,15.3,16.200001,15.25,15.675,1.340213,6500800,
1/01/1968,15.675,15.68125,14.71875,14.8625,1.270745,10377600,
1/02/1968,14.8625,15.05,14.2125,14.5,1.23975,10609600,
1/03/1968,14.5,15.325,14,15.3125,1.312081,11905600,
1/04/1968,15.6375,16.9375,15.625,16.9375,1.451323,11107200,
1/05/1968,16.975,17.85,16.125,17.85,1.529512,11739200,
1/06/1968,18.450001,18.75,17.25,17.6875,1.518424,10641600,
1/07/1968,17.6875,18.25,16.299999,16.9375,1.454039,9384000,
1/08/1968,16.9375,17.325001,16.5,16.75,1.437943,7364800,
1/09/1968,16.75,17.075001,16.5,16.75,1.440715,6200000,
1/10/1968,16.525,16.65,15.225,15.35,1.320296,17635200,
1/11/1968,15.4,16.737499,15.375,16.6875,1.435338,10878400,
1/12/1968,16.6875,16.737499,15.5,15.75,1.354701,8513600,
1/01/1969,15.75,15.7625,14.75,14.8125,1.274065,15188800,
1/02/1969,14.8125,15.525,14.6625,14.66875,1.2617,9505600,
1/03/1969,14.66875,15.775,14.5875,15.7,1.354051,7593600,
1/04/1969,15.7,16.512501,15.2625,16.4,1.414423,7721600,
1/05/1969,16.4,16.74375,15.9125,15.95,1.375612,7235200,
1/06/1969,15.95,16.975,15.3875,16.887501,1.460056,9937600,
1/07/1969,16.887501,18.225,15.5,16.225,1.402777,17296000,
1/08/1969,16.299999,17.5375,16.275,17.25,1.491396,11720000,
1/09/1969,17.25,18.012501,16.549999,17.262501,1.49709,10350400,
1/10/1969,17.262501,18.25,17,18.025,1.563217,12192000,
1/11/1969,18,18.4375,17.2125,17.85,1.548041,8328000,
1/12/1969,17.924999,18.35,17.512501,18.225,1.584959,11555200,
1/01/1970,18.225,19.35,16.7125,16.759375,1.4575,15148800,
1/02/1970,16.85,17.75,16.737499,17.012501,1.479514,12294400,
1/03/1970,17.012501,17.049999,15.7625,16.924999,1.471903,15971200,
1/04/1970,16.924999,17.025,14.3125,14.9,1.295797,18692800,
1/05/1970,14.9,14.95,11.85,13.9,1.208831,29678400,
1/06/1970,13.9,14.35,12.5,12.5,1.091473,21307200,
1/07/1970,12.5,13.125,12.1,12.6125,1.101297,18169600,
1/08/1970,12.59375,13.575,10.9375,13.3125,1.167948,22201600,
1/09/1970,13.2625,14.775,12.9625,14.5875,1.279807,17121600,
1/10/1970,14.5875,15.4875,14.15,14.7,1.289677,13166400,
1/11/1970,14.7,15.45,14.425,15.3625,1.353241,13985600,
1/12/1970,15.3625,16.0375,15.3125,15.8875,1.399487,15844800,
1/01/1971,15.8375,16.387501,15.5,16.275,1.433621,13894400,
1/02/1971,16.275,17.174999,16.25,16.825001,1.482069,11152000,
1/03/1971,16.825001,18.2875,16.737499,17.875,1.580778,12256000,
1/04/1971,17.875,18.200001,17.450001,17.887501,1.581883,16568000,
1/05/1971,17.75,17.775,16.25,16.35,1.445915,12846400,
1/06/1971,16.375,16.575001,15.4,15.85,1.406897,21155200,
1/07/1971,15.85,15.9625,14.5125,14.5625,1.292614,22408000,
1/08/1971,14.6375,16,14.1625,15.2,1.3492,17017600,
1/09/1971,15.2,15.65,14.95,15.1875,1.354225,12812800,
1/10/1971,15.2125,15.7625,14.775,15.025,1.339736,14761600,
1/11/1971,15,15.325,14.4125,15.275,1.362027,13342400,
1/12/1971,15.325,17.424999,15.325,16.825001,1.50676,17424000,
1/01/1972,16.825001,18.6,16.5875,18.4,1.64781,18987200,
1/02/1972,18.4,18.75,18.225,18.424999,1.650048,9993600,
1/03/1972,18.475,19.299999,18.299999,19.112499,1.717825,13555200,
1/04/1972,19.112499,19.987499,18.9625,19.299999,1.734678,11294400,
1/05/1972,19.299999,20.299999,18.8375,19.887501,1.787483,13296000,
1/06/1972,19.950001,20.049999,19.35,19.6,1.767939,9315200,
1/07/1972,19.65,20.275,19.174999,20.0375,1.807402,11385600,
1/08/1972,20.1,21.3375,20.1,20.424999,1.842357,14835200,
1/09/1972,20.424999,20.487499,19.6625,20.325001,1.839408,9339200,
1/10/1972,20.325001,20.393749,18.075001,19.275,1.744383,19964800,
1/11/1972,19.299999,19.725,18.549999,19.549999,1.76927,12979200,
1/12/1972,19.549999,20.25,19.25,20.1,1.825512,12316800,
1/01/1973,20.225,22.424999,20.225,21.775,1.977639,18889600,
1/02/1973,21.775,22.825001,20.924999,21.575001,1.959475,14412800,
1/03/1973,21.575001,22.487499,20.975,21.575001,1.965761,14980800,
1/04/1973,21.575001,21.8125,20.0625,20.4,1.858703,13444800,
1/05/1973,20.575001,21.262501,19.075001,19.671875,1.792362,19080000,
1/06/1973,19.625,20.84375,19.125,19.8125,1.811155,13171200,
1/07/1973,19.625,20.21875,18.4375,19.65625,1.796871,15332800,
1/08/1973,19.65625,19.671875,18.578125,18.8125,1.719739,11534400,
1/09/1973,18.78125,18.78125,15.65625,16.125,1.479443,23854400,
1/10/1973,16.109375,18.4375,15.3125,17.515625,1.607031,21480000,
1/11/1973,17.515625,18.125,16.4375,16.5625,1.519583,14982400,
1/12/1973,16.546875,16.6875,14.695313,15.421875,1.420682,15811200,
1/01/1974,15.421875,15.71875,14.0625,15.328125,1.412045,15929600,
1/02/1974,15.28125,15.28125,14.0625,14.867188,1.369583,9995200,
1/03/1974,14.867188,15.875,14.46875,14.734375,1.364726,12356800,
1/04/1974,14.734375,15.15625,13.671875,14.203125,1.315521,11529600,
1/05/1974,14.203125,14.5,13.101563,13.28125,1.230135,11699200,
1/06/1974,13.28125,14.5,13.125,13.296875,1.238532,11020800,
1/07/1974,13.296875,13.992188,12.265625,12.601563,1.173767,16593600,
