Date,Open,High,Low,Close,Adj Close,Volume,
1/12/1980,0.513393,0.645089,0.450893,0.609375,0.027308,336212800,
1/01/1981,0.616071,0.620536,0.504464,0.504464,0.022607,152247200,
1/02/1981,0.477679,0.515625,0.424107,0.473214,0.021207,80404800,
1/03/1981,0.475446,0.482143,0.386161,0.4375,0.019606,175179200,
1/04/1981,0.435268,0.524554,0.433036,0.506696,0.022707,134232000,
1/05/1981,0.506696,0.59375,0.479911,0.591518,0.026508,147604800,
1/06/1981,0.591518,0.59375,0.464286,0.464286,0.020806,237641600,
1/07/1981,0.462054,0.46875,0.397321,0.446429,0.020006,166857600,
1/08/1981,0.446429,0.464286,0.337054,0.359375,0.016105,137155200,
1/09/1981,0.381696,0.390625,0.254464,0.272321,0.012204,185920000,
1/10/1981,0.272321,0.359375,0.272321,0.357143,0.016005,226044000,
1/11/1981,0.357143,0.359375,0.319196,0.332589,0.014905,146669600,
1/12/1981,0.332589,0.410714,0.323661,0.395089,0.017705,259280000,
1/01/1982,0.395089,0.395089,0.319196,0.363839,0.016305,216053600,
1/02/1982,0.363839,0.366071,0.325893,0.325893,0.014604,152101600,
1/03/1982,0.328125,0.330357,0.252232,0.301339,0.013504,299919200,
1/04/1982,0.316964,0.319196,0.261161,0.263393,0.011804,437399200,
1/05/1982,0.272321,0.292411,0.25,0.25,0.011203,310973600,
1/06/1982,0.247768,0.252232,0.227679,0.227679,0.010203,200911200,
1/07/1982,0.227679,0.258929,0.196429,0.241071,0.010803,354552800,
1/08/1982,0.247768,0.323661,0.21875,0.321429,0.014404,539000000,
1/09/1982,0.314732,0.339286,0.310268,0.325893,0.014604,415889600,
1/10/1982,0.330357,0.477679,0.321429,0.453125,0.020306,944876800,
1/11/1982,0.453125,0.607143,0.448661,0.569196,0.025508,788076800,
1/12/1982,0.569196,0.622768,0.493304,0.533482,0.023907,681497600,
1/01/1983,0.533482,0.75,0.486607,0.729911,0.03271,1144757600,
1/02/1983,0.729911,0.868304,0.71875,0.814732,0.036511,788323200,
1/03/1983,0.814732,0.84375,0.716518,0.754464,0.03381,662082400,
1/04/1983,0.754464,0.941964,0.689732,0.901786,0.040412,834708000,
1/05/1983,0.901786,1.089286,0.850446,1.03125,0.046214,521102400,
1/06/1983,1.03125,1.129464,0.816964,0.872768,0.039112,701870400,
1/07/1983,0.872768,0.888393,0.604911,0.622768,0.027909,774457600,
1/08/1983,0.622768,0.665179,0.535714,0.665179,0.029809,765385600,
1/09/1983,0.665179,0.709821,0.395089,0.412946,0.018506,1985401600,
1/10/1983,0.412946,0.428571,0.319196,0.404018,0.018106,1255469600,
1/11/1983,0.404018,0.430804,0.308036,0.363839,0.016305,1030540000,
1/12/1983,0.363839,0.450893,0.352679,0.435268,0.019506,664154400,
1/01/1984,0.435268,0.526786,0.412946,0.441964,0.019806,1089704000,
1/02/1984,0.441964,0.493304,0.399554,0.46875,0.021006,777840000,
1/03/1984,0.46875,0.5,0.4375,0.441964,0.019806,491472800,
1/04/1984,0.441964,0.560268,0.410714,0.560268,0.025108,804176800,
1/05/1984,0.566964,0.613839,0.5,0.524554,0.023507,1328919200,
1/06/1984,0.524554,0.549107,0.433036,0.473214,0.021207,793783200,
1/07/1984,0.473214,0.493304,0.433036,0.455357,0.020406,708724800,
1/08/1984,0.455357,0.551339,0.428571,0.473214,0.021207,1277948000,
1/09/1984,0.473214,0.517857,0.439732,0.448661,0.020106,625156000,
1/10/1984,0.446429,0.488839,0.401786,0.444196,0.019906,890764000,
1/11/1984,0.446429,0.473214,0.390625,0.441964,0.019806,842514400,
1/12/1984,0.441964,0.522321,0.435268,0.520089,0.023307,863755200,
1/01/1985,0.520089,0.555804,0.497768,0.517857,0.023207,1591604000,
1/02/1985,0.517857,0.549107,0.441964,0.441964,0.019806,1183347200,
1/03/1985,0.441964,0.464286,0.370536,0.395089,0.017705,1153896800,
1/04/1985,0.395089,0.410714,0.350446,0.379464,0.017005,717007200,
1/05/1985,0.379464,0.397321,0.301339,0.310268,0.013904,1159782400,
1/06/1985,0.303571,0.330357,0.263393,0.321429,0.014404,1452847200,
1/07/1985,0.323661,0.325893,0.283482,0.283482,0.012704,650148800,
1/08/1985,0.283482,0.287946,0.258929,0.267857,0.012004,454686400,
1/09/1985,0.267857,2,0.263393,0.28125,0.012604,449549600,
1/10/1985,0.28125,0.34375,0.267857,0.332589,0.014905,946478400,
1/11/1985,0.332589,0.370536,0.332589,0.359375,0.016105,721168000,
1/12/1985,0.359375,0.408482,0.34375,0.392857,0.017605,892802400,
1/01/1986,0.392857,0.441964,0.388393,0.412946,0.018506,1572950400,
1/02/1986,0.412946,0.477679,0.408482,0.446429,0.020006,855215200,
1/03/1986,0.446429,0.529018,0.433036,0.504464,0.022607,1066083200,x
1/04/1986,0.504464,0.584821,0.46875,0.540179,0.024207,1115671200,
1/05/1986,0.540179,0.669643,0.53125,0.660714,0.029609,1238512800,
1/06/1986,0.660714,0.698661,0.580357,0.640625,0.028709,1015840000,
1/07/1986,0.640625,0.674107,0.535714,0.558036,0.025008,1422909600,
1/08/1986,0.555804,0.678571,0.546875,0.660714,0.029609,910879200,
1/09/1986,0.662946,0.662946,0.564732,0.598214,0.026808,894549600,
